salon,grupo,lugar,semana,fecha,alimento,precio,unidades,observaciones
1,4,carulla,1,feb-07,cebolla,1240,lb,
1,4,carulla,1,feb-07,coliflor,19025,lb,Precio obtenido por 200 gramos y empacado en caja plastica
1,4,carulla,1,feb-07,papa,2070,lb,
1,4,carulla,1,feb-07,tomate,1640,lb,
1,4,carulla,1,feb-07,zanahoria,,,producto agotado
1,4,carulla,1,feb-07,fresa,9400,lb,precio obtenido por 250 gramos y empacado en caja plastica
1,4,carulla,1,feb-07,granadilla,6900,lb,
1,4,carulla,1,feb-07,lulo,,,no manejan producto
1,4,carulla,1,feb-07,manzana,5975,lb, 
1,4,carulla,1,feb-07,maracuya,,,no manejan producto
1,4,surtifruver_lasabana,2,feb-14,cebolla,1440,lb,
1,4,surtifruver_lasabana,2,feb-14,coliflor,,,por paro no llego
1,4,surtifruver_lasabana,2,feb-14,papa,1600,lb,
1,4,surtifruver_lasabana,2,feb-14,tomate,1900,lb,
1,4,surtifruver_lasabana,2,feb-14,zanahoria,831,lb,
1,4,surtifruver_lasabana,2,feb-14,fresa,2000,lb,bandeja
1,4,surtifruver_lasabana,2,feb-14,granadilla,7300,lb,
1,4,surtifruver_lasabana,2,feb-14,lulo,2700,lb,
1,4,surtifruver_lasabana,2,feb-14,manzana,4850,lb,venden por unidad se calcula con el peso promedio de una manzana
1,4,surtifruver_lasabana,2,feb-14,maracuya,4400,lb,
1,4,carulla,3,feb-21,cebolla,1135,lb,
1,4,carulla,3,feb-21,coliflor,19225,lb,precio obtenido por 200 gramos y empacado en caja plastica
1,4,carulla,3,feb-21,papa,2070,lb,
1,4,carulla,3,feb-21,tomate,1800,lb,
1,4,carulla,3,feb-21,zanahoria,1400,lb,
1,4,carulla,3,feb-21,fresa,,,producto agotado
1,4,carulla,3,feb-21,granadilla,7150,lb,
1,4,carulla,3,feb-21,lulo,,,no manejan producto,
1,4,carulla,3,feb-21,manzana,5975,lb,
1,4,carulla,3,feb-21,maracuya,,,no manejan producto
1,4,surtifruver_lasabana,4,feb-28,cebolla,1040,lb, 
1,4,surtifruver_lasabana,4,feb-28,coliflor,,,llega poco
1,4,surtifruver_lasabana,4,feb-28,papa,1600,lb,
1,4,surtifruver_lasabana,4,feb-28,tomate,1100,lb,
1,4,surtifruver_lasabana,4,feb-28,zanahoria,1000,lb,
1,4,surtifruver_lasabana,4,feb-28,fresa,2000,lb,bandeja
1,4,surtifruver_lasabana,4,feb-28,granadilla,4500,lb,
1,4,surtifruver_lasabana,4,feb-28,lulo,2350,lb,
1,4,surtifruver_lasabana,4,feb-28,manzana,4850,lb,venden por unidad se calcula con el peso promedio de una manzana
1,4,surtifruver_lasabana,4,feb-28,maracuya,2050,lb,
